,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
0,Heliotrope Ridge,North Cascades,Mount Baker Area,37,4.38,5.5,roundtrip,1400,5100,Northwest Forest Pass,48.8021,-121.8957,Heliotrope Ridge (#677),"Mt. Baker-Snoqualmie National Forest, Glacier Public Service Center",WTA Correspondents,Anya Zolotusky,318,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,Bear Creek Mountain,South Cascades,Goat Rocks,9,3.22,7.0,roundtrip,1237,7337,None,46.5381,-121.3162,Bear Creek Mountain (#1130),"Okanogan-Wentachee National Forest, Naches Ranger District",WTA Staff,Anna Roth,40,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2,Skyline Trail Loop,Mount Rainier Area,SW - Longmire/Paradise,49,4.55,5.5,roundtrip,1450,6800,National Park Pass,46.7860,-121.7350,"Mount Rainier National Park, Longmire Wilderness Information Center",,WTA Correspondents,Conor Dempsey,353,1,1,0,0,1,0,0,0,1,0,0,0,1,0
3,Tronsen Ridge,Central Cascades,Blewett Pass,10,4.00,8.0,roundtrip,1000,5800,Northwest Forest Pass,47.3227,-120.5265,Tronsen Ridge (#1204),"Okanogan–Wenatchee National Forest, Cle Elum Ranger District",,,120,1,1,0,0,0,0,1,1,0,0,0,0,0,0
4,Pigeon Creek Trail,Puget Sound and Islands,Seattle-Tacoma Area,1,3.00,3.5,roundtrip,,,None,47.9808,-122.2168,"Port of Everett, City of Everett",,WTA Correspondents,McKenzie Carlson,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
5,The Enchantments,Central Cascades,Leavenworth Area,96,4.65,18.0,one-way,4500,7800,Northwest Forest Pass,47.5279,-120.8207,Enchantment Lakes (#1553),"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Correspondents,Paul Kriloff,580,1,1,0,1,1,0,1,1,1,0,1,1,0,0
6,Mount Si,Snoqualmie Region,North Bend Area,209,4.00,8.0,roundtrip,3150,3900,Discover Pass,47.4880,-121.7231,"Department of Natural Resources, South Puget Sound Region",,WTA Correspondents,Paul Kriloff,1622,0,1,1,0,0,0,0,0,1,1,1,0,0,0
7,Domerie Peak,Snoqualmie Region,Cle Elum Area,4,2.00,18.0,roundtrip,,,None,47.3464,-121.1471,Domerie Peak (#1308),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Glacier Lake,South Cascades,Goat Rocks,11,2.73,4.0,roundtrip,800,2905,Northwest Forest Pass,46.5457,-121.6222,Glacier Lake (#89),"USFS Cowlitz Valley Ranger District, Packwood Office ",,,31,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,Port Gamble Forest - Beaver Pond Trail,Olympic Peninsula,Kitsap Peninsula,2,3.00,2.0,roundtrip,,,None,47.8402,-122.5877,Kitsap County Parks,,WTA Community,Forterra,8,0,0,1,0,0,1,0,0,1,0,0,1,0,0
